mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	mean_test_roc_auc	mean_train_accuracy	mean_train_precision	mean_train_recall	mean_train_roc_auc	param_SVM__C	param_SVM__class_weight	param_SVM__dual	param_SVM__loss	param_SVM__penalty	param_TFIDF__ngram_range	param_TFIDF__tokenizer	param_TFIDF__use_idf	params	rank_test_accuracy	rank_test_precision	rank_test_recall	rank_test_roc_auc	split0_test_accuracy	split0_test_precision	split0_test_recall	split0_test_roc_auc	split0_train_accuracy	split0_train_precision	split0_train_recall	split0_train_roc_auc	split1_test_accuracy	split1_test_precision	split1_test_recall	split1_test_roc_auc	split1_train_accuracy	split1_train_precision	split1_train_recall	split1_train_roc_auc	split2_test_accuracy	split2_test_precision	split2_test_recall	split2_test_roc_auc	split2_train_accuracy	split2_train_precision	split2_train_recall	split2_train_roc_auc	split3_test_accuracy	split3_test_precision	split3_test_recall	split3_test_roc_auc	split3_train_accuracy	split3_train_precision	split3_train_recall	split3_train_roc_auc	split4_test_accuracy	split4_test_precision	split4_test_recall	split4_test_roc_auc	split4_train_accuracy	split4_train_precision	split4_train_recall	split4_train_roc_auc	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall	std_test_roc_auc	std_train_accuracy	std_train_precision	std_train_recall	std_train_roc_auc
74.4607071877	9.6378795147	0.911139036	0.2507110896	0.3330175976	0.6532470191	0.9948221428	0.9703626703	0.994469886	0.9980683749	5	balanced	False	squared_hinge	l1	(1, 3)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 5.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 3), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	15	9	4	6	0.9462651805	0.0223642173	0.2916666667	0.5586096264	0.9908382066	0.9808201058	0.9880079947	0.998428071	0.972489083	0.02	0.0666666667	0.6587692308	0.9951417919	0.9753726507	0.9966887417	0.9984723827	0.8806758184	0.8279569892	0.6553191489	0.8534514702	0.995095154	0.967571644	0.9945736434	0.9976343269	0.7529039071	0.9431818182	0.6080586081	0.8520525609	0.997547577	0.977	0.9979570991	0.998594411	0.7283298097	0.9890829694	0.6425531915	0.8417851152	0.9954879843	0.951048951	0.9951219512	0.9972126829	20.4674179483	9.1504359843	0.0805245667	0.3930010022	0.1972312293	0.1209272291	0.0021872263	0.0105765929	0.0034431372	0.0005458798
97.7909771919	12.9732849121	0.9099721748	0.2471392675	0.3125204051	0.6471744608	0.9943540488	0.9694605059	0.9924486229	0.9980183201	5	balanced	False	squared_hinge	l1	(1, 4)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 5.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 4), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	16	13	8	8	0.9436033938	0.0183486239	0.25	0.5380268359	0.9900584795	0.9820478723	0.9840106596	0.9987979906	0.9707423581	0.0185185185	0.0666666667	0.6935970696	0.9944639024	0.9734283863	0.9947019868	0.9981783794	0.8796198522	0.8167539267	0.6638297872	0.8346969878	0.9945065725	0.9660120846	0.9914728682	0.9976129969	0.7571277719	0.9413407821	0.6172161172	0.8460031241	0.9974494801	0.976976977	0.9969356486	0.9981465912	0.7325581395	0.9891774892	0.6482269504	0.8415761749	0.9952918097	0.9488372093	0.9951219512	0.9973556423	27.2766546397	12.2636047736	0.0781412412	0.3927885354	0.2061181486	0.1281755514	0.0024061728	0.0115576397	0.0045718499	0.000500677
35.2877388	2.8744206905	0.9246028184	0.2542491312	0.3008911256	0.655161862	0.9961648308	0.9740587166	0.9984042371	0.9991138289	10	balanced	False	squared_hinge	l1	(1, 1)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 10.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 1), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	1	5	11	5	0.9625686242	0.0281690141	0.25	0.5666861533	0.9943469786	0.9823066841	0.998667555	0.9993167043	0.9820960699	0	0	0.6392673993	0.9963845893	0.9798701299	0.9993377483	0.9995425763	0.8986272439	0.871657754	0.6936170213	0.8671677026	0.9959780263	0.9713207547	0.9976744186	0.9987242037	0.747624076	0.9501466276	0.5934065934	0.8488257379	0.9979399647	0.979	1	0.9999720667	0.7473572939	0.9915611814	0.6666666667	0.8497248462	0.9961745954	0.9577960141	0.9963414634	0.9980135935	13.1594548357	2.7261078955	0.0827310328	0.4007372747	0.2274870487	0.1204087343	0.0011435884	0.0089240092	0.001286461	0.0006817449
61.6214969635	6.4327014446	0.9162552733	0.2552560964	0.332268652	0.6280443963	0.9957647802	0.9732285429	0.9968029133	0.998928187	10	balanced	False	squared_hinge	l1	(1, 2)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 10.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 2), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	12	2	5	11	0.953585094	0.0260223048	0.2916666667	0.5383991704	0.9933723197	0.982883476	0.9946702199	0.9991299086	0.9781659389	0.027027027	0.0666666667	0.5917948718	0.9960456446	0.9785853342	0.9986754967	0.9993018888	0.883843717	0.8415300546	0.6553191489	0.8480635907	0.9956837355	0.9712556732	0.9953488372	0.998643585	0.7434002112	0.9469026549	0.5879120879	0.8507417354	0.9978418678	0.978978979	0.9989785495	0.9993274389	0.7346723044	0.985042735	0.6539007092	0.8422265384	0.9958803335	0.9544392523	0.9963414634	0.9982381138	16.6667674299	6.1056870222	0.0834774154	0.3926324784	0.1964676136	0.1297364753	0.0014238656	0.0101184002	0.0017387131	0.0004235436
87.692843008	9.7023889065	0.9092541065	0.2488675991	0.3330679452	0.6500438631	0.9952286521	0.9730313468	0.994469886	0.9989647629	10	balanced	False	squared_hinge	l1	(1, 3)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 10.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 3), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	17	11	3	7	0.9444352021	0.0216049383	0.2916666667	0.542421775	0.9914230019	0.9827700464	0.9880079947	0.9996551394	0.9703056769	0.0181818182	0.0666666667	0.6904468864	0.9957066998	0.9785435631	0.9966887417	0.9989548404	0.8796198522	0.8201058201	0.6595744681	0.8339379632	0.9954875417	0.9704992436	0.9945736434	0.9990073271	0.7507919747	0.9428571429	0.6043956044	0.8524796068	0.9977437708	0.9789579158	0.9979570991	0.9989137598	0.7262156448	0.9847826087	0.6425531915	0.8493452223	0.9957822462	0.9543859649	0.9951219512	0.998292748	27.2599800408	9.2093831206	0.0805467454	0.3917471313	0.197394831	0.1277317278	0.0020693388	0.0101431044	0.0034431372	0.0004319109
117.1128376484	13.0537727356	0.9084462795	0.2450432013	0.2670066075	0.6588991376	0.9948256207	0.9727675319	0.9924486229	0.999143114	10	balanced	False	squared_hinge	l1	(1, 4)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 10.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 4), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	18	16	15	2	0.9409416071	0.01179941	0.1666666667	0.547561383	0.9904483431	0.983355526	0.9840106596	0.9995218582	0.9698689956	0.0178571429	0.0666666667	0.7267252747	0.9952547735	0.9778645833	0.9947019868	0.9992731109	0.8827877508	0.829787234	0.6638297872	0.8166776237	0.995095154	0.9704097117	0.9914728682	0.9998041121	0.7581837381	0.9490084986	0.6135531136	0.8451307628	0.9976456739	0.9789368104	0.9969356486	0.9987151228	0.7293868922	0.9869848156	0.6453900709	0.8577911186	0.9956841589	0.953271028	0.9951219512	0.9984013659	37.6299760564	12.431758051	0.0777357827	0.397355334	0.2223338966	0.1267152935	0.0023709563	0.0106001748	0.0045718499	0.0005158743
40.713244772	2.8950483322	0.9231666816	0.252309048	0.3008206492	0.6583215626	0.9962852697	0.9748333891	0.9984042371	0.9992911943	15	balanced	False	squared_hinge	l1	(1, 1)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 15.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 1), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	5	8	12	3	0.9605722841	0.0266666667	0.25	0.5733324982	0.9945419103	0.9829508197	0.998667555	0.9993826105	0.9816593886	0	0	0.635047619	0.9964975709	0.9805068226	0.9993377483	0.9995703619	0.8954593453	0.8578947368	0.6936170213	0.8603095864	0.9961742201	0.9727891156	0.9976744186	0.9989594869	0.7465681098	0.9526627219	0.5897435897	0.8483735716	0.9979399647	0.979	1	0.9999739511	0.7484143763	0.9895178197	0.6695035461	0.8622377211	0.9962726827	0.9589201878	0.9963414634	0.998569561	13.8838927785	2.7283628561	0.0822643761	0.3994603222	0.2274779984	0.1186486106	0.0010802666	0.0086353946	0.001286461	0.0004864633
72.4867350101	6.2942216396	0.9156269635	0.2545892548	0.3330970183	0.62762103	0.9959080621	0.9745261217	0.9968029133	0.999394924	15	balanced	False	squared_hinge	l1	(1, 2)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 15.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 2), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	13	4	2	12	0.9524205623	0.0253623188	0.2916666667	0.5272256556	0.9933723197	0.982883476	0.9946702199	0.9998087984	0.9746724891	0.0222222222	0.0666666667	0.6115164835	0.9962716077	0.97985705	0.9986754967	0.9994069866	0.8848996832	0.8461538462	0.6553191489	0.8430163758	0.9957818325	0.971990916	0.9953488372	0.9996353873	0.747624076	0.9501466276	0.5934065934	0.8538246874	0.9978418678	0.978978979	0.9989785495	0.9993804235	0.7378435518	0.9851380042	0.6581560284	0.8624643183	0.9962726827	0.9589201878	0.9963414634	0.9987430244	21.3670999635	5.9238928655	0.0813033583	0.3945068495	0.1976718501	0.1358949691	0.0014457276	0.0085797966	0.0017387131	0.0003617854
96.0742990971	9.3767876625	0.9062920743	0.2469019432	0.3340376461	0.6552748609	0.9953297202	0.9739777152	0.994469886	0.999454036	15	balanced	False	squared_hinge	l1	(1, 3)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 15.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 3), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	19	14	1	4	0.9391116287	0.0196629213	0.2916666667	0.5395822894	0.9914230019	0.9827700464	0.9880079947	0.9996951605	0.9694323144	0.0175438596	0.0666666667	0.7189157509	0.9958196814	0.9791802212	0.9966887417	0.9993748258	0.878563886	0.8125	0.6638297872	0.8362180253	0.9955856386	0.9712339137	0.9945736434	0.9998703222	0.7571277719	0.9413407821	0.6172161172	0.85172828	0.9977437708	0.9789579158	0.9979570991	0.9991065218	0.721987315	0.9846491228	0.6368794326	0.8585474236	0.9960765081	0.9577464789	0.9951219512	0.9992233496	28.2030843049	9.2466801531	0.0790033677	0.3912438276	0.1987747148	0.1327634834	0.0020953919	0.0089460051	0.0034431372	0.0002869466
114.8958094597	11.8397202492	0.9062920743	0.2447856473	0.2925909482	0.6739313899	0.9949100502	0.9733928702	0.9924486229	0.9995291858	15	balanced	False	squared_hinge	l1	(1, 4)	<function tokenizer4 at 0x7f9d057f9158>	True	{'SVM__C': 15.0, 'SVM__class_weight': 'balanced', 'SVM__dual': False, 'SVM__loss': 'squared_hinge', 'SVM__penalty': 'l1', 'TFIDF__ngram_range': (1, 4), 'TFIDF__tokenizer': <function tokenizer4 at 0x7f9d057f9158>, 'TFIDF__use_idf': True}	19	19	14	1	0.9361171186	0.0135135135	0.2083333333	0.5516187851	0.9904483431	0.983355526	0.9840106596	0.9995653674	0.9672489083	0.0161290323	0.0666666667	0.7936556777	0.9954807366	0.9791395046	0.9947019868	0.9998676128	0.8859556494	0.829015544	0.6808510638	0.8239809945	0.9951932509	0.9711465452	0.9914728682	0.9998505593	0.7613516367	0.9419889503	0.6245421245	0.8398303691	0.9976456739	0.9789368104	0.9969356486	0.9991511375	0.7346723044	0.985042735	0.6539007092	0.8450192755	0.9957822462	0.9543859649	0.9951219512	0.999211252	36.6917586867	11.9029902806	0.0746020502	0.3955583991	0.2181436696	0.1332542191	0.0023898569	0.0102890429	0.0045718499	0.0003043436
